song_id,song_name,author_name,album_name,song_img,song_time,song_url,album_data,create_time,update_time
1,Unknown Doll,10th Avenue Cafe,幻想郷茶房 ~tea for two~,Unknown Doll.jpg,4:42,10th Avenue Cafe - Unknown Doll.mp3,2018-12-23,2018-12-23 02:57:53,2018-12-23 02:57:53
2,Cu capu-n nori,3 Sud Est,热门华语38,Cu capu-n nori.jpg,3:23,3 Sud Est - Cu capu-n nori.mp3,2018-12-23,2018-12-23 02:57:53,2018-12-23 02:57:53
3,Tonight,3rd Storee,The 3rd Storee,Tonight.jpg,3:59,3rd Storee - Tonight.mp3,2018-12-23,2018-12-23 02:57:53,2018-12-23 02:57:53
4,Melon Cream Soda,4ru,Coloridium,Melon Cream Soda.jpg,2:54,4ru - Melon Cream Soda.mp3,2018-12-23,2018-12-23 02:57:53,2018-12-23 02:57:53
5,In My Mind (Frankie Goes Deep Remix),5 Reasons,NU DISCO 2014 (Ibiza Summer Essentials),In My Mind (Frankie Goes Deep Remix).jpg,7:04,5 Reasons - In My Mind (Frankie Goes Deep Remix).mp3,2018-12-23,2018-12-23 02:57:53,2018-12-23 02:57:53
6,In My Mind(Original Mix),5 Reasons,IN MY MIND,In My Mind(Original Mix).jpg,6:20,5 Reasons - In My Mind(Original Mix).mp3,2018-12-23,2018-12-23 02:57:53,2018-12-23 02:57:53
7,Night Drive in Moscow (Original Mix) - remix,5 Reasons/Patrick Baker,Night Drive In Moscow,Night Drive in Moscow (Original Mix) - remix.jpg,4:51,"5 Reasons,Patrick Baker - Night Drive in Moscow (Original Mix) - remix.mp3",2018-12-23,2018-12-23 02:57:53,2018-12-23 02:57:53
8,Aimai Self (5u5h1 Remix),5u5h1,Aimai Self (5u5h1 Remix),Aimai Self (5u5h1 Remix).jpg,4:33,5u5h1 - Aimai Self (5u5h1 Remix).mp3,2018-12-23,2018-12-23 02:57:53,2018-12-23 02:57:53
9,Usushio Girl,5u5h1,Usushio Girl,Usushio Girl.jpg,3:34,5u5h1 - Usushio Girl.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
10,Driftwood,7AND5/Stella 13,"Hope, Destiny, And Choice",Driftwood.jpg,4:25,"7AND5,Stella 13 - Driftwood.mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
11,友達以上、恋人未満。,8utterfly,DRAMA,友達以上、恋人未満。.jpg,4:07,8utterfly - 友達以上、恋人未満。.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
12,ドレミファロンド,96猫,アイリス,ドレミファロンド.jpg,3:21,96猫 - ドレミファロンド.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
13,ブラックペッパー with ろん,96猫/ろん,7S,ブラックペッパー with ろん.jpg,4:01,"96猫,ろん - ブラックペッパー with ろん.mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
14,Lost Within,A Himitsu,Lost Within,Lost Within.jpg,5:37,A Himitsu - Lost Within.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
15,Paragon,A.N.O./Shadowx,Paragon,Paragon.jpg,4:27,"A.N.O.,Shadowx - Paragon.mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
16,Dancin (KRONO Remix),Aaron Smith/Vimisu,最新热歌慢摇77,Dancin (KRONO Remix).jpg,4:16,"Aaron Smith,Vimisu - Dancin (KRONO Remix).mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
17,Clsr (Aash Mehta Flip),Aash Mehta/The Chainsmokers,Clsr (Aash Mehta Flip),Clsr (Aash Mehta Flip).jpg,4:41,"Aash Mehta,The Chainsmokers - Clsr (Aash Mehta Flip).mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
18,Holiday,Achordion/Tomoko Mitsuda,Life,Holiday.jpg,4:48,"Achordion,Tomoko Mitsuda - Holiday.mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
19,Visions,Acreix,Visions,Visions.jpg,3:18,Acreix - Visions.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
20,Galaxy,Adam Smits,Galaxy,Galaxy.jpg,3:48,Adam Smits - Galaxy.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
21,High (Radio Edit),Addal/Mida/KiFi,High,High (Radio Edit).jpg,2:36,"Addal,Mida,KiFi - High (Radio Edit).mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
22,Crash 2.0 (Adventure Club vs Dallask),Adventure Club/DallasK,Crash 2.0 (Adventure Club vs Dallask),Crash 2.0 (Adventure Club vs Dallask).jpg,4:14,"Adventure Club,DallasK - Crash 2.0 (Adventure Club vs Dallask).mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
23,Limitless,Adventure Club/Delaney Jane,Limitless,Limitless.jpg,4:04,"Adventure Club,Delaney Jane - Limitless.mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
24,Attention,Aero Chord/Danyka Nadeau,Attention,Attention.jpg,3:27,"Aero Chord,Danyka Nadeau - Attention.mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
25,Raccoon City,Aether/SizzleBird/Veela,Alchemy (Liquicity Presents),Raccoon City.jpg,3:47,"Aether,SizzleBird,Veela - Raccoon City.mp3",2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
26,Take Over Control,Afrojack,Take Over Control,Take Over Control.jpg,3:41,Afrojack - Take Over Control - UK Radio Edit.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
28,Courage,Ahrix,The Beginning,Courage.jpg,3:22,Ahrix - Courage.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
29,Evolving,Ahrix,Evolving,Evolving.jpg,3:24,Ahrix - Evolving.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
30,Frisbee,Ahxello,Frisbee,Frisbee.jpg,3:11,Ahxello - Frisbee.mp3,2018-12-23,2018-12-23 02:57:54,2018-12-23 02:57:54
31,Revolution,Ahxello,Revolution,Revolution.jpg,3:03,Ahxello - Revolution.mp3,2018-12-23,2018-12-23 02:57:55,2018-12-23 02:57:55
32,Cherry Cheeks,Aika,Cherry Cheeks,Cherry Cheeks.jpg,4:09,Aika - Cherry Cheeks.mp3,2018-12-23,2018-12-23 02:57:55,2018-12-23 02:57:55
33,ONE,Aimer,ONE / 花の唄 / 六等星の夜 Magic Blue ver. (初回生産限定盤),ONE.jpg,5:31,Aimer - ONE.mp3,2018-12-23,2018-12-23 02:57:55,2018-12-23 02:57:55
